id,cat
117208,Other
104900,History
12946,Social Studies
192893,Social Studies
198118,History
3253,History
499,Fine Arts
121678,Literature
113461,Literature
110737,Literature
5279,Literature
120305,Chemistry
110479,Physics
100057,Literature
10348,Physics
116615,Social Studies
3030,History
11732,Social Studies
194313,Literature
105641,Literature
105551,Biology
119094,Social Studies
1489,History
192445,Science
196788,Social Studies
4236,History
106338,Fine Arts
1492,History
119927,Literature
122541,Social Studies
111652,History
118680,Physics
191446,Literature
108443,Physics
11423,Social Studies
120810,Literature
118210,Literature
189325,Fine Arts
193578,Social Studies
123378,Mathematics
121028,Social Studies
6448,Literature
2828,History
7310,Literature
107058,Literature
118996,Other
12738,Social Studies
110282,Social Studies
31,Fine Arts
122702,Social Studies
190466,History
11815,Social Studies
112907,History
115837,Fine Arts
10205,Physics
196204,Literature
2784,History
119464,History
117458,History
110131,Social Studies
107242,Biology
759,Fine Arts
10707,Physics
112532,Social Studies
12596,Social Studies
3549,History
5785,Literature
117725,Chemistry
118115,Biology
102854,Literature
4916,Literature
194266,Fine Arts
6770,Social Studies
9592,Social Studies
113709,Social Studies
190081,Social Studies
111588,Social Studies
6024,Literature
190058,Astronomy
7599,Literature
4443,Literature
5565,Literature
122272,History
122678,Science
117943,Social Studies
195933,History
2543,History
104192,Literature
7925,Other
101072,History
198034,Literature
111612,Social Studies
8402,Social Studies
113851,Fine Arts
114490,History
3768,History
106256,History
2766,History
112236,Other
113039,Fine Arts
110536,History
190140,Social Studies
194045,Fine Arts
102489,Fine Arts
118177,Chemistry
195527,Other
121796,Physics
194602,Physics
6310,Literature
193144,History
196336,History
118465,Physics
121721,Chemistry
198182,Chemistry
8747,Biology
105088,Fine Arts
101834,Other
196247,Fine Arts
123625,Biology
5980,Literature
110849,Fine Arts
191013,Literature
111475,Social Studies
111414,Social Studies
116851,Literature
111485,Social Studies
1996,History
196330,Social Studies
114913,Literature
189867,Literature
109889,Fine Arts
120085,Fine Arts
123683,Social Studies
194808,Social Studies
102763,Biology
108739,History
104822,Literature
2297,History
3028,History
106357,Biology
197207,Chemistry
197043,Social Studies
189179,Social Studies
9220,Biology
5309,Literature
104485,Social Studies
6511,Literature
108604,Astronomy
193899,Literature
3646,History
198197,Biology
118600,Fine Arts
192063,Biology
111829,History
119530,Fine Arts
10007,Mathematics
194658,Physics
189932,Literature
197673,Literature
102925,History
193636,Social Studies
195362,Social Studies
100715,Social Studies
121274,Other
104041,History
106646,Fine Arts
119830,Literature
308,Fine Arts
12934,Social Studies
7493,Other
117470,Literature
106018,Literature
102693,Social Studies
11405,Social Studies
123113,Fine Arts
198244,History
103552,Literature
118632,Physics
116089,Mathematics
112676,History
107661,Literature
1189,Fine Arts
101278,Literature
122899,Fine Arts
193904,Chemistry
195766,Literature
194403,History
1078,Fine Arts
110905,Literature
2211,History
112739,Physics
117578,Social Studies
10823,Social Studies
1338,Fine Arts
197740,History
112544,Fine Arts
121088,Literature
114058,History
108447,Literature
190976,Fine Arts
190303,Biology
195790,Literature
115619,Fine Arts
196782,Literature
119707,Literature
195483,Chemistry
1402,Fine Arts
106379,Other
12463,History
121786,History
101903,History
5429,Literature
196896,Social Studies
11370,History
102432,Other
117335,Literature
5181,Literature
108260,Literature
102734,Social Studies
111766,History
105319,Social Studies
6447,Literature
115204,History
710,Fine Arts
6128,Literature
118725,History
193895,Social Studies
196420,Science
116041,Physics
196555,Chemistry
108277,Literature
113588,Chemistry
1623,History
117560,Biology
191839,Literature
2947,Social Studies
5569,Literature
6001,Literature
191423,Social Studies
189147,Biology
119585,Literature
196604,History
196531,Social Studies
102703,Physics
118749,Biology
123542,History
191035,Literature
4964,Literature
119624,History
111350,History
112180,Literature
7885,Literature
122614,Fine Arts
101465,Literature
106649,Literature
6746,Literature
189290,Social Studies
6236,Literature
117280,Social Studies
101869,Social Studies
190763,Fine Arts
117336,History
113738,History
108700,Biology
8947,Chemistry
123915,History
194088,Fine Arts
122495,Literature
111169,Fine Arts
8453,Biology
7411,Chemistry
102496,Literature
122433,Chemistry
104892,Social Studies
195109,Chemistry
118856,Literature
110576,Physics
109612,Literature
10342,Physics
6896,Literature
193934,Literature
3099,History
5447,Literature
195854,History
100472,Other
104783,History
192295,History
9493,Chemistry
101384,Social Studies
100614,Other
193297,History
114258,Fine Arts
11159,Social Studies
10465,Physics
114491,Social Studies
4101,History
109864,Literature
103370,Literature
4055,History
195691,Social Studies
106909,Fine Arts
10702,Physics
11589,Social Studies
190094,History
121987,History
9725,Mathematics
114421,Literature
116477,Fine Arts
101316,Fine Arts
104720,Literature
118126,Physics
106421,Literature
116740,Literature
7410,Social Studies
3845,History
110918,Physics
8418,Biology
1452,Fine Arts
117762,Social Studies
118537,History
117493,Social Studies
190370,Other
100211,Other
111480,History
122456,Physics
2314,History
109838,Social Studies
104929,History
106123,Other
106005,Science
189357,Literature
3704,Literature
100279,Other
102040,Mathematics
106730,Social Studies
198336,Other
113225,Literature
102219,Literature
2171,History
9598,Chemistry
13139,Social Studies
110818,History
123136,Social Studies
110876,Social Studies
123094,Literature
120504,Fine Arts
102862,Literature
119976,Literature
195629,Literature
102709,History
103898,Physics
192440,Literature
196455,Social Studies
122712,Other
193780,Chemistry
196736,Literature
192464,Science
113820,Literature
119224,Literature
110972,Social Studies
5712,Literature
112835,Social Studies
6612,Literature
191401,Literature
190789,Chemistry
117677,History
195424,Social Studies
115225,Literature
5988,Literature
2861,History
100589,Other
117249,Social Studies
105127,Social Studies
107944,History
112193,Other
102979,History
3162,History
104423,Social Studies
108742,History
109538,Other
13155,Social Studies
196051,History
122190,Other
2017,History
196970,Social Studies
189194,Fine Arts
101330,Social Studies
114223,Literature
10442,Physics
191111,Physics
2560,History
123833,Literature
111565,Social Studies
198379,Biology
101039,History
106708,Literature
196634,Fine Arts
107454,Social Studies
12544,Social Studies
122543,Chemistry
120140,Fine Arts
107862,History
101978,Physics
8736,Biology
11761,Social Studies
114476,Social Studies
195472,Biology
192986,Social Studies
196111,Fine Arts
694,Fine Arts
117843,Social Studies
194756,Fine Arts
110201,Other
123537,History
7439,Social Studies
114724,Literature
121957,Social Studies
112299,Other
5538,Literature
197494,Fine Arts
104096,History
113663,History
655,Fine Arts
108982,Physics
5530,Literature
112796,Social Studies
118705,Fine Arts
104579,Social Studies
105370,Science
102202,Physics
117114,History
8648,Biology
193675,Biology
195011,Literature
115868,Fine Arts
116131,Biology
12972,History
104636,Fine Arts
120201,Literature
194252,Literature
103589,Social Studies
6493,Literature
113713,Other
106751,Chemistry
111010,History
118290,Other
191878,Fine Arts
101074,History
8300,Biology
5069,Literature
13283,Social Studies
120912,Literature
108996,Chemistry
197911,History
12203,Social Studies
195701,History
106598,History
677,Fine Arts
118637,Literature
104790,History
197932,Fine Arts
112515,Literature
117192,Physics
13020,Literature
189662,Literature
120853,Literature
121026,Social Studies
11586,Social Studies
195504,History
118853,Fine Arts
4592,Literature
117128,Social Studies
7107,Social Studies
101041,Literature
9334,Chemistry
102647,Literature
5086,Literature
196482,Literature
123816,Social Studies
115149,Social Studies
119525,Literature
3565,History
119208,History
9424,Chemistry
7550,Social Studies
119983,Fine Arts
120158,Physics
108816,Chemistry
196453,Physics
122846,Literature
12619,Social Studies
123459,Biology
109142,Other
111557,Social Studies
103695,Fine Arts
287,Fine Arts
189565,Physics
5111,Literature
118934,Social Studies
190887,History
3280,History
7804,Other
112971,Physics
191470,Biology
9278,Physics
195459,Literature
108601,Literature
110101,Social Studies
189797,Social Studies
189496,History
12674,Social Studies
193919,Social Studies
6652,Literature
5558,Literature
191345,Literature
121252,Physics
113387,Literature
11561,Social Studies
123472,History
196925,Mathematics
10883,Social Studies
12038,Social Studies
2659,History
117496,Social Studies
118909,Physics
120395,History
686,Fine Arts
119687,Physics
108764,Literature
106466,Social Studies
120224,History
7743,Other
1906,History
12329,Social Studies
101486,Literature
109052,Fine Arts
192277,Fine Arts
104294,History
118799,History
192178,Literature
5723,Literature
4632,Literature
195108,Literature
13,Fine Arts
116473,Fine Arts
116780,Literature
106755,Physics
192329,Biology
5128,Literature
189368,History
10140,History
104412,Other
11545,Social Studies
102422,History
109832,Fine Arts
106529,History
115054,Social Studies
104698,Literature
190175,Literature
107896,History
115598,Literature
1270,Fine Arts
102075,Literature
123463,History
196339,Chemistry
195215,Social Studies
1684,History
191003,History
121591,Literature
106809,Literature
115266,History
101428,Literature
119947,Literature
805,Fine Arts
101139,Physics
123834,Biology
115756,History
8831,Biology
116627,Biology
9584,Social Studies
107288,Literature
101500,Literature
935,Fine Arts
105685,Physics
103550,History
8840,Biology
110635,Fine Arts
113152,History
195484,History
10177,Physics
116645,History
112767,Literature
107422,Literature
120125,Social Studies
10168,Physics
193116,Social Studies
8536,Biology
118928,Physics
115226,History
1132,Fine Arts
105514,Other
122545,Social Studies
107925,Fine Arts
100751,Literature
118565,Other
4568,Literature
191094,Chemistry
454,Fine Arts
102643,Chemistry
189503,Other
198347,Literature
190848,Literature
189604,Social Studies
111146,Physics
114085,Literature
110290,Social Studies
110188,Social Studies
108184,Social Studies
10307,Physics
191339,Literature
122752,Chemistry
102009,Physics
191555,History
118952,Social Studies
4966,Literature
198070,Literature
9667,Social Studies
107101,Literature
103315,History
192140,Fine Arts
194754,Literature
6788,Literature
116611,Literature
112423,Social Studies
5050,Literature
105979,History
122802,Fine Arts
102314,Fine Arts
192146,Literature
195221,Literature
6054,Literature
114470,Other
192086,Social Studies
191130,Fine Arts
116840,Other
2615,Social Studies
197951,History
120372,History
120030,Fine Arts
114320,Fine Arts
12218,Social Studies
122707,Fine Arts
116904,Literature
9421,Chemistry
189919,Fine Arts
120157,Fine Arts
5106,Literature
191674,Social Studies
1041,Literature
11721,Social Studies
2338,History
9716,Mathematics
190804,History
122054,Social Studies
196949,Social Studies
119823,Social Studies
110605,Biology
191897,Fine Arts
100869,Literature
114065,Biology
118439,Literature
5196,Literature
117758,Social Studies
121559,Literature
193849,History
196436,History
111775,History
6068,Literature
195060,Social Studies
114096,Literature
102379,Other
6817,Literature
109915,Physics
190194,Literature
192433,Other
108908,Literature
118237,Biology
5551,Literature
112303,Other
194899,Fine Arts
9878,Mathematics
8809,Biology
196432,Literature
12691,Social Studies
194590,Literature
969,Fine Arts
111885,Fine Arts
118392,History
122347,History
118704,Fine Arts
112875,Literature
193463,Literature
4858,Literature
100288,Other
197395,Literature
113701,Literature
197564,Physics
107551,History
4979,Literature
107277,Other
104641,Mathematics
103945,Literature
7456,Mathematics
111235,History
123249,Social Studies
110288,Literature
114556,Physics
197633,Physics
6305,Literature
120486,Social Studies
5072,Literature
110045,Social Studies
195081,History
122900,Social Studies
3345,History
5937,Literature
197342,Social Studies
113645,Social Studies
109441,Physics
189192,History
107274,Social Studies
111279,History
197799,Fine Arts
1254,Fine Arts
116765,Literature
107200,Literature
3191,History
4516,Literature
5109,Literature
119580,Fine Arts
119235,Biology
12766,Social Studies
8448,Biology
108913,Biology
108114,Other
3284,Social Studies
12199,Social Studies
3950,History
11416,History
1108,Fine Arts
122973,Fine Arts
114756,Literature
189758,Chemistry
3922,History
196924,Literature
5252,Literature
121386,Literature
195412,Physics
119036,History
191921,History
113873,Social Studies
11235,Social Studies
120221,Mathematics
196656,Fine Arts
5714,Literature
9280,Chemistry
198127,Social Studies
10819,Social Studies
118821,Literature
121859,Science
1561,Other
106761,Literature
190879,Fine Arts
120482,Literature
110579,Fine Arts
113817,History
119733,History
104998,Literature
118337,History
118549,Fine Arts
190754,History
6080,Literature
196990,Science
11409,Social Studies
197627,Social Studies
106967,Literature
5621,Literature
3073,History
100274,Other
111836,History
115887,Fine Arts
7930,Literature
117345,History
10222,Physics
118898,Social Studies
8918,Chemistry
196098,Fine Arts
121799,History
111361,Literature
5918,Literature
114916,History
113224,Fine Arts
123656,Social Studies
3055,History
195265,Fine Arts
108737,History
197971,Fine Arts
913,Fine Arts
104222,History
117968,Literature
2989,History
748,Fine Arts
5487,Literature
121156,Social Studies
191141,Literature
193655,Literature
107428,Social Studies
192601,Fine Arts
11492,Social Studies
5347,Literature
121701,Fine Arts
116862,Literature
4593,Literature
113957,Social Studies
108070,Literature
100610,Other
6178,Literature
115091,History
107017,Literature
115418,Mathematics
102660,Social Studies
235,Fine Arts
109770,History
106397,Literature
6748,Literature
193654,Biology
10748,Social Studies
114019,Mathematics
7987,Social Studies
195396,Fine Arts
11927,Social Studies
121567,Literature
3355,History
106412,History
192107,Social Studies
10820,Social Studies
189827,Literature
7669,Literature
121495,Literature
9154,Chemistry
118490,Literature
114088,Social Studies
198006,Social Studies
191082,Physics
117078,History
103602,Fine Arts
122705,Literature
113878,Chemistry
1833,History
105356,Biology
114776,Literature
108246,Literature
105754,History
121119,Literature
118001,Chemistry
110752,Fine Arts
117051,Social Studies
11807,Social Studies
2684,History
106706,Physics
3910,History
12343,Social Studies
103760,Physics
106447,Literature
192037,Fine Arts
123293,History
194394,History
195688,Social Studies
381,Fine Arts
12515,Astronomy
106834,Social Studies
197843,History
195703,Social Studies
101696,Literature
116633,Mathematics
6187,Literature
116188,Biology
102902,Fine Arts
197965,History
107966,Social Studies
190714,Social Studies
195603,Chemistry
115287,History
105595,Fine Arts
198250,History
12093,Social Studies
114097,Chemistry
105440,Fine Arts
102340,Social Studies
197792,Social Studies
8692,Biology
121582,Fine Arts
196609,Biology
100014,Other
4992,Literature
102556,Social Studies
118064,Mathematics
8651,Biology
107446,Other
118415,Literature
116787,Literature
231,Fine Arts
197634,Fine Arts
190555,Physics
102732,Literature
111122,Physics
8512,Biology
3581,History
197770,Biology
108903,History
7112,Literature
8006,Physics
117410,Fine Arts
198222,History
110346,Literature
123406,Chemistry
10326,Physics
102937,Literature
9052,Physics
11796,Social Studies
1992,Social Studies
191883,History
6499,Literature
6922,Literature
104480,Physics
109247,Social Studies
118304,Literature
122378,History
106034,History
101096,Physics
733,Fine Arts
113245,Literature
3251,History
106629,Fine Arts
194289,Literature
116652,History
106212,Social Studies
7700,Other
113201,History
195794,Literature
190178,Social Studies
4447,Literature
100991,Fine Arts
10236,Physics
198044,Literature
195454,Mathematics
192810,Other
189713,Physics
112987,History
192977,History
11225,Social Studies
191608,Literature
105046,Literature
102646,History
196927,History
1490,History
197575,Social Studies
119056,History
116628,Literature
91,Fine Arts
100663,Other
101959,Social Studies
11278,Social Studies
107297,History
8134,Astronomy
196791,Social Studies
101571,Literature
103433,Chemistry
195571,History
9345,Chemistry
110328,Literature
191615,History
194424,Physics
12761,Social Studies
10576,Physics
998,Fine Arts
104356,Other
190940,History
198002,Literature
192706,Chemistry
109396,Mathematics
107898,Physics
110588,Social Studies
12097,Social Studies
6789,Literature
100976,Literature
117890,Social Studies
12122,Social Studies
198025,Chemistry
198095,Physics
115024,Social Studies
109943,History
111679,History
198565,Literature
116714,Social Studies
102583,History
115172,Literature
193022,History
103893,Social Studies
197389,Astronomy
102026,Literature
100928,Social Studies
7499,Fine Arts
117875,Social Studies
2022,History
117138,Fine Arts
8833,Biology
110445,History
111076,Social Studies
107602,History
115111,Fine Arts
196016,History
121750,Social Studies
104853,History
8533,Biology
8191,Biology
100900,Biology
191009,History
113440,Social Studies
6676,Literature
110629,Physics
191149,Science
123573,History
8196,Biology
115454,Social Studies
193947,Biology
6474,Literature
8763,Biology
12677,Social Studies
109534,Physics
10716,Physics
110495,Biology
193672,Physics
7104,Literature
105053,Social Studies
192985,Literature
194429,Biology
100996,Social Studies
9718,Physics
115030,Social Studies
10587,Physics
123124,Literature
112192,Literature
111036,Mathematics
120640,Fine Arts
194216,Biology
106734,Biology
11008,Social Studies
194194,Biology
9714,History
102999,Literature
117992,Chemistry
1253,Fine Arts
191019,Literature
3805,History
2566,History
12840,Social Studies
11715,Literature
117979,Physics
191563,Literature
122610,Literature
123089,History
121089,History
120470,Literature
119611,History
116261,Fine Arts
120449,Biology
104207,Physics
111799,History
112404,Social Studies
123494,Literature
105116,Literature
12604,Social Studies
113853,Literature
110327,Physics
101537,Literature
111486,Social Studies
195501,Physics
121366,Literature
189492,History
197051,Biology
3711,Social Studies
2599,History
1509,History
192705,Physics
117692,Literature
196616,Chemistry
118536,Biology
7977,Social Studies
110041,Chemistry
118997,Social Studies
114493,Science
13128,Social Studies
102403,Other
198739,Chemistry
194870,Literature
105529,Other
114622,Literature
191110,Literature
100772,History
8254,Biology
100819,History
106187,Literature
7180,Literature
3886,History
112862,History
10480,Physics
10329,Physics
193538,Literature
8985,Physics
194209,Literature
123392,Physics
105612,History
119030,Social Studies
109517,History
1583,History
102963,History
195850,Literature
9578,Social Studies
115535,Fine Arts
114277,Fine Arts
191080,Social Studies
101010,Fine Arts
10283,Physics
118119,Physics
3197,History
109651,Social Studies
109261,Fine Arts
196168,History
194587,Biology
104663,Social Studies
114924,Fine Arts
6520,Literature
117451,Social Studies
197327,Social Studies
117658,Literature
116344,Literature
117228,Other
105540,Other
197686,Other
121910,Biology
5943,Literature
119060,Social Studies
194352,Social Studies
101328,Literature
115436,Biology
194462,Fine Arts
122596,Fine Arts
116277,Literature
195161,Fine Arts
119613,Physics
195874,Literature
3637,History
116621,Fine Arts
194249,Science
105788,Fine Arts
194512,History
5870,Literature
1019,Fine Arts
122502,Social Studies
106807,Literature
106442,Social Studies
121175,Physics
103493,Literature
191254,Social Studies
121164,History
118648,Literature
192604,History
8349,Biology
121741,History
107375,Social Studies
1761,History
318,Fine Arts
9614,Social Studies
189323,Literature
118049,Biology
6404,Literature
110301,History
189712,Literature
194687,Other
6263,Literature
190138,Biology
120571,Literature
117634,History
121933,Social Studies
102955,Physics
118117,Chemistry
105142,Biology
114459,Other
3308,History
13292,Social Studies
108569,Literature
121198,Other
2497,History
112732,Social Studies
114621,History
2589,History
108956,Fine Arts
8301,Biology
110261,Fine Arts
119042,Literature
196572,Chemistry
192794,Literature
9435,Chemistry
109765,History
9418,Chemistry
121606,Literature
191820,Literature
119882,Fine Arts
635,Fine Arts
100231,Other
2242,History
11107,Social Studies
11510,Social Studies
115890,Fine Arts
108784,Social Studies
9546,History
197291,Physics
105914,Fine Arts
12305,Social Studies
101665,Literature
103148,History
101812,Literature
111404,Literature
111880,Chemistry
11965,Literature
196744,Physics
191463,Chemistry
4273,History
111250,Biology
11236,Social Studies
3319,History
111720,Social Studies
114386,Fine Arts
9572,Social Studies
193677,Social Studies
119852,Fine Arts
116887,Literature
104488,History
7205,Literature
194497,Literature
119681,History
108545,Fine Arts
112183,Other
104640,History
197202,Literature
194519,Social Studies
6757,Literature
193129,Fine Arts
112954,Literature
121039,Social Studies
189737,Fine Arts
111625,Social Studies
108884,Literature
5412,Literature
191920,Fine Arts
194083,Literature
115505,Literature
2705,History
191175,History
123375,Social Studies
114262,Social Studies
104273,Biology
117186,Literature
100401,Other
192971,History
117813,Social Studies
4562,Literature
5566,Literature
7657,Other
100005,Other
190340,History
13060,Social Studies
205,Fine Arts
259,Fine Arts
116201,Fine Arts
117659,Physics
11488,Social Studies
102712,Fine Arts
3161,History
4540,Literature
2580,History
195307,Physics
193643,Literature
104117,History
106266,Social Studies
110721,Physics
8849,Biology
192345,Literature
4421,History
123162,Literature
1970,History
118813,Fine Arts
192129,Social Studies
3786,History
110437,Literature
193387,History
6350,Literature
198114,Chemistry
122432,Social Studies
6671,Literature
189691,History
10092,Physics
193035,History
191589,Literature
102844,History
101773,Literature
103837,Fine Arts
115058,Social Studies
105477,Biology
104920,Physics
118,Fine Arts
109880,Mathematics
8465,Biology
112070,Literature
2156,History
190455,History
106498,Social Studies
194260,Social Studies
11596,Social Studies
196203,Social Studies
104927,Social Studies
196160,Biology
198075,Fine Arts
196630,Social Studies
112534,Literature
4866,Literature
116751,Literature
103966,Fine Arts
102521,Physics
100847,Social Studies
121549,Literature
115096,Social Studies
8596,Biology
118227,Fine Arts
1880,History
120137,History
197269,Fine Arts
102739,Literature
119933,Fine Arts
119314,Literature
118706,Literature
107409,Fine Arts
194819,Social Studies
194638,Physics
123474,Social Studies
116519,Chemistry
121382,Literature
190210,Social Studies
1444,Fine Arts
112004,History
11019,Social Studies
9002,Chemistry
120502,Literature
115063,Social Studies
197771,Fine Arts
197346,Social Studies
100253,Other
883,Fine Arts
119285,Science
102047,Literature
11833,Literature
123413,Physics
8942,Physics
1282,Fine Arts
105017,Literature
115528,History
5924,Literature
193823,Social Studies
195693,Physics
102490,History
3149,History
113969,Social Studies
7150,Literature
7597,Other
3819,History
115211,Literature
107893,Biology
119569,Social Studies
198449,Literature
196079,Literature
116466,Other
118825,Fine Arts
109730,History
104681,Literature
4205,History
6586,Literature
107329,Physics
113640,History
113097,Social Studies
112358,Other
120183,Social Studies
111832,History
117913,Social Studies
116410,Social Studies
9195,Chemistry
196917,Social Studies
101147,Physics
109676,History
7888,Other
11258,Social Studies
198652,History
103551,Mathematics
107795,History
191442,Physics
112415,Literature
191125,Literature
195136,Social Studies
111167,Social Studies
189277,Literature
119406,History
197070,Other
9580,Social Studies
116047,Physics
12516,Social Studies
195254,Literature
11585,Social Studies
106111,Social Studies
194632,Physics
196853,History
196653,History
109498,Social Studies
103821,History
190477,Other
108169,History
3057,History
107729,Biology
122084,Literature
2390,History
113824,Literature
4589,Literature
9903,Physics
948,Fine Arts
122987,Biology
109940,Social Studies
100346,Other
10186,Physics
2801,History
121454,Literature
9474,Chemistry
7253,Literature
107342,Physics
121814,Literature
113217,History
6793,Literature
12684,Social Studies
485,Fine Arts
107278,Chemistry
9332,Physics
698,Fine Arts
195126,Social Studies
110833,History
116198,Literature
115220,Social Studies
1842,History
108978,Fine Arts
121969,Biology
193839,Chemistry
122570,Physics
119090,Chemistry
198330,History
13002,Social Studies
104182,Literature
113570,History
9379,Chemistry
113871,Fine Arts
195263,Biology
121949,Literature
102518,Mathematics
108662,History
113660,Literature
2427,History
190223,History
5264,Literature
118937,Biology
7880,Other
113572,Fine Arts
109436,Biology
6234,Literature
100455,Other
193618,Literature
112231,Other
5511,Literature
191216,Social Studies
109127,Social Studies
116394,History
123787,Fine Arts
9282,Chemistry
113124,History
1865,History
102769,Literature
114194,Social Studies
191672,Physics
285,Fine Arts
6897,Social Studies
10498,Physics
196500,History
5444,Literature
100111,Other
194174,Science
120002,Literature
198041,Science
9762,Physics
196376,Fine Arts
118900,History
3128,History
3518,History
4638,Literature
119747,Literature
198359,Fine Arts
1464,Fine Arts
119724,Social Studies
111704,History
114595,Physics
120727,Fine Arts
102278,Social Studies
114089,Fine Arts
12720,Social Studies
120207,Fine Arts
190946,Social Studies
117600,Literature
190384,Social Studies
120714,Chemistry
195404,Physics
108671,Literature
103159,Fine Arts
123284,Fine Arts
9574,Physics
189696,Social Studies
115943,Fine Arts
107241,History
107720,History
192539,Social Studies
115897,Fine Arts
116194,Literature
578,Fine Arts
1101,Fine Arts
8098,Physics
191481,Social Studies
1423,Fine Arts
106887,Chemistry
2244,History
114601,Literature
113028,Physics
3259,History
122069,Fine Arts
12082,Social Studies
117232,Literature
103897,Social Studies
12434,Literature
10291,Physics
2881,History
7620,Other
113961,Social Studies
103820,Literature
193134,History
624,Fine Arts
192124,Literature
193699,Literature
1185,Fine Arts
104657,Social Studies
105954,Literature
111594,Social Studies
195376,History
189682,Other
104617,Social Studies
10690,Physics
119058,Biology
196113,History
10331,Physics
5311,Literature
121364,Literature
194627,Literature
116575,Chemistry
109767,History
103561,Literature
117737,Social Studies
113432,Literature
11915,Social Studies
109325,Chemistry
191749,Fine Arts
2437,History
117856,Social Studies
109581,History
102994,Fine Arts
114358,Fine Arts
122667,Physics
191186,Biology
111085,Literature
102488,Physics
100029,Other
9736,Social Studies
8771,Biology
112845,Fine Arts
190945,Physics
997,Fine Arts
192134,Literature
118732,Social Studies
114711,History
198457,Fine Arts
7621,Literature
113837,Fine Arts
120612,Literature
107861,History
196548,History
103146,History
113834,Social Studies
191081,History
1192,Fine Arts
122781,Literature
122254,History
868,Literature
120957,Social Studies
114082,Physics
11158,Social Studies
102839,Literature
13154,Social Studies
109487,Literature
198712,History
107773,Fine Arts
838,Fine Arts
109294,History
10056,Physics
193029,History
112283,Literature
116834,Literature
117465,Mathematics
116656,Social Studies
114796,Social Studies
194900,Social Studies
196221,History
108899,Social Studies
103283,Social Studies
190783,Literature
190865,History
